2025-02-18 19:55:00,245-3000,245-4500,245-0200,245-4000,2162
2025-02-18 19:50:00,245-2400,245-4091,245-0201,245-3800,6036
2025-02-18 19:45:00,245-0400,245-2400,245-0000,245-2001,5522
2025-02-18 19:40:00,245-1800,245-1800,244-9000,245-0500,4266
2025-02-18 19:35:00,244-9000,245-1800,244-9000,245-1100,9592
2025-02-18 19:30:00,244-9900,244-9900,244-9000,244-9020,1804
2025-02-18 19:25:00,244-9100,245-0000,244-9000,244-9600,498
2025-02-18 19:20:00,244-9800,245-0000,244-8700,244-9200,1153
2025-02-18 19:15:00,244-9900,245-0200,244-8600,245-0000,1750
2025-02-18 19:10:00,244-8800,245-0000,244-8500,244-9988,4527
2025-02-18 19:05:00,244-8200,245-0000,244-8200,244-9300,1108
2025-02-18 19:00:00,244-9500,244-9500,244-8000,244-8232,1324
2025-02-18 18:55:00,244-8700,244-9500,244-7800,244-9012,1147
2025-02-18 18:50:00,244-9358,244-9500,244-8100,244-9400,1317
2025-02-18 18:45:00,244-7500,244-9000,244-7500,244-8500,1960
2025-02-18 18:40:00,244-8100,244-9000,244-7500,244-7600,774
2025-02-18 18:35:00,244-7300,244-8900,244-7200,244-7512,1813
2025-02-18 18:30:00,244-7600,244-8000,244-7000,244-7800,1681
2025-02-18 18:25:00,244-8400,244-8400,244-7600,244-7600,989
2025-02-18 18:20:00,244-7800,244-8400,244-7600,244-7900,1867
2025-02-18 18:15:00,244-7300,244-8400,244-7000,244-8000,438
2025-02-18 18:10:00,244-8500,244-9000,244-7245,244-8499,4402
2025-02-18 18:05:00,244-6801,244-9400,244-6800,244-8500,2863
2025-02-18 18:00:00,244-5800,244-9900,244-5800,244-6800,6391
2025-02-18 17:55:00,244-5800,244-6800,244-5400,244-5500,681
2025-02-18 17:50:00,244-6500,244-6900,228-4912,244-6699,1055
2025-02-18 17:45:00,244-5400,244-7000,229-2480,244-7000,576651
2025-02-18 17:40:00,244-5400,244-6863,227-4311,244-6720,1906
2025-02-18 17:35:00,244-6100,244-7000,228-7977,244-5500,647
2025-02-18 17:30:00,244-6000,247-6583,228-4912,244-6400,3528
2025-02-18 17:25:00,244-6500,244-6500,241-7383,244-6489,605
2025-02-18 17:20:00,244-6000,244-6500,244-5400,244-5700,1669
2025-02-18 17:15:00,244-5300,244-6700,227-4311,244-5500,1682
2025-02-18 17:10:00,244-5300,244-7700,244-5300,244-6958,1528
2025-02-18 17:05:00,244-5400,244-7900,244-5300,244-5500,3316
2025-02-18 17:00:00,244-5300,244-6000,244-4700,244-5400,5526
2025-02-18 16:55:00,244-5300,244-6000,244-5300,244-5500,904
2025-02-18 16:50:00,244-5200,244-5700,244-4400,244-5300,2432
2025-02-18 16:45:00,244-5100,244-5200,244-4200,244-5200,1791
2025-02-18 16:40:00,244-5707,244-7500,244-4200,244-4200,23473
2025-02-18 16:35:00,244-5800,244-6100,244-4700,244-5700,9161
2025-02-18 16:30:00,244-5700,244-6400,244-4200,244-5701,9066
2025-02-18 16:25:00,244-6300,244-6600,244-1200,244-5700,2188
2025-02-18 16:20:00,244-4201,244-6300,244-4200,244-5500,3317
2025-02-18 16:15:00,244-4700,244-6800,244-4200,244-4215,7891
2025-02-18 16:10:00,244-4700,244-6900,244-3000,244-4200,564417
2025-02-18 16:05:00,244-3025,244-4700,243-9552,244-3012,2667378
2025-02-18 16:00:00,244-4700,244-5000,243-7517,244-3500,20918700
2025-02-18 15:55:00,244-0500,244-9530,244-0300,244-4600,2795016
2025-02-18 15:50:00,243-2900,244-5000,243-2900,244-0800,1013427
2025-02-18 15:45:00,243-2800,243-4200,243-1500,243-2800,322168
2025-02-18 15:40:00,243-2800,243-4200,243-1850,243-2700,313034
2025-02-18 15:35:00,243-3900,243-4600,243-2650,243-2700,259781
2025-02-18 15:30:00,243-5300,243-6400,243-3300,243-3900,219833
2025-02-18 15:25:00,243-6000,243-6400,243-5000,243-5200,190886
2025-02-18 15:20:00,243-6500,243-6700,243-4500,243-6100,218873
2025-02-18 15:15:00,243-7200,243-7350,243-5200,243-6500,225628
2025-02-18 15:10:00,243-6500,243-8350,243-5200,243-7100,227157
2025-02-18 15:05:00,243-7600,243-7900,243-5950,243-6442,170355
2025-02-18 15:00:00,243-6989,243-7900,243-6050,243-7600,220384
2025-02-18 14:55:00,243-6100,243-7500,243-5801,243-6950,287922
2025-02-18 14:50:00,243-5300,243-8350,243-4100,243-6000,318484
2025-02-18 14:45:00,243-2700,243-5400,243-2400,243-5150,172654
2025-02-18 14:40:00,243-2100,243-4599,243-1318,243-2750,200483
2025-02-18 14:35:00,243-2350,243-3400,243-1400,243-2100,228499
2025-02-18 14:30:00,243-0550,243-3200,242-9750,243-2200,461987
2025-02-18 14:25:00,242-8400,243-0900,242-7900,243-0500,290451
2025-02-18 14:20:00,242-1900,242-9550,242-1200,242-8300,353752
2025-02-18 14:15:00,242-0501,242-3300,242-0000,242-1818,217370
2025-02-18 14:10:00,242-1200,242-3100,241-9100,242-0550,200776
2025-02-18 14:05:00,242-6150,242-6800,241-8400,242-1200,377116
2025-02-18 14:00:00,242-6100,242-7500,242-5700,242-6150,175775
2025-02-18 13:55:00,242-6199,242-8115,242-5800,242-6200,203211
2025-02-18 13:50:00,242-5500,242-6922,242-4500,242-6100,216276
2025-02-18 13:45:00,242-7950,242-8325,242-3101,242-5290,253350
2025-02-18 13:40:00,242-8800,242-9300,242-3800,242-7700,411264
2025-02-18 13:35:00,243-1600,243-1650,242-8312,242-8312,362177
2025-02-18 13:30:00,243-4300,243-4833,243-0350,243-1650,241697
2025-02-18 13:25:00,243-4450,243-5500,243-3000,243-4350,212642
2025-02-18 13:20:00,243-5250,243-5800,243-2500,243-4450,238659
2025-02-18 13:15:00,243-6800,243-8700,243-5100,243-5250,164311
2025-02-18 13:10:00,243-9298,243-9778,243-6200,243-6900,200937
2025-02-18 13:05:00,244-0650,244-0800,243-8800,243-9200,195112
2025-02-18 13:00:00,243-9700,244-1155,243-8600,244-0630,484964
2025-02-18 12:55:00,244-1800,244-1800,243-9500,243-9750,191689
2025-02-18 12:50:00,244-0800,244-3100,244-0759,244-1800,136561
2025-02-18 12:45:00,244-2000,244-2000,243-9801,244-1000,167350
2025-02-18 12:40:00,244-3775,244-3800,243-9300,244-2000,300781
2025-02-18 12:35:00,244-2800,244-4100,244-0200,244-3650,209893
2025-02-18 12:30:00,244-4500,244-5000,244-2301,244-2750,150226
2025-02-18 12:25:00,244-4705,244-5700,244-3400,244-4300,181580
2025-02-18 12:20:00,244-3169,244-5100,244-2400,244-4900,141892
2025-02-18 12:15:00,244-4200,244-4250,244-2450,244-3336,182348
2025-02-18 12:10:00,244-3600,244-4700,244-2402,244-4100,175737
2025-02-18 12:05:00,244-7700,244-7800,244-1730,244-3650,192578
2025-02-18 12:00:00,244-8950,244-9500,244-6100,244-7700,187825
2025-02-18 11:55:00,244-9650,245-0500,244-8700,244-8900,648181
2025-02-18 11:50:00,244-9863,245-0200,244-8512,244-9524,253447
2025-02-18 11:45:00,244-4550,245-0000,244-4400,244-9800,274983
2025-02-18 11:40:00,244-8200,244-8200,244-3500,244-4700,207157
